query_id,ndcg,n_candidates,n_positives,is_bottom,user_id,restaurant_id,positive_item,cart_size,cart_value
mendeley_o_000004__1,0.6309297535714575,7,1,False,u_00633,r_0063,i_067,1.0,256.505
mendeley_o_000011__1,0.43067655807339306,7,1,False,u_03794,r_0268,i_107,1.0,275.39
mendeley_o_000011__2,0.3333333333333333,7,1,True,u_03794,r_0268,i_072,2.0,535.79
mendeley_o_000011__3,0.38685280723454163,7,1,True,u_03794,r_0268,i_054,3.0,756.03
mendeley_o_000014__1,0.3333333333333333,7,1,True,u_04492,r_0064,i_026,1.0,238.095
mendeley_o_000014__2,0.6309297535714575,7,1,False,u_04492,r_0064,i_080,2.0,477.865
mendeley_o_000014__3,0.43067655807339306,7,1,False,u_04492,r_0064,i_111,3.0,734.72
mendeley_o_000029__1,1.0,7,1,False,u_01860,r_0059,i_089,1.0,261.52
mendeley_o_000029__2,0.6309297535714575,7,1,False,u_01860,r_0059,i_067,2.0,506.18499999999995
mendeley_o_000029__3,0.3562071871080222,7,1,True,u_01860,r_0059,i_098,3.0,719.125
mendeley_o_000041__1,0.5,7,1,False,u_04297,r_0157,i_104,1.0,247.58
mendeley_o_000041__2,0.6309297535714575,7,1,False,u_04297,r_0157,i_020,2.0,511.08000000000004
mendeley_o_000041__3,0.6309297535714575,7,1,False,u_04297,r_0157,i_064,3.0,757.1600000000001
mendeley_o_000051__1,0.6309297535714575,7,1,False,u_04151,r_0383,i_091,1.0,254.32
mendeley_o_000051__2,0.5,7,1,False,u_04151,r_0383,i_021,2.0,527.36
mendeley_o_000051__3,0.3562071871080222,7,1,True,u_04151,r_0383,i_043,3.0,763.05
mendeley_o_000054__1,0.6309297535714575,7,1,False,u_00017,r_0301,i_061,1.0,239.735
mendeley_o_000054__2,0.43067655807339306,7,1,False,u_00017,r_0301,i_114,2.0,505.375
mendeley_o_000074__1,0.3562071871080222,7,1,True,u_01778,r_0264,i_081,1.0,261.52
mendeley_o_000074__2,0.43067655807339306,7,1,False,u_01778,r_0264,i_003,2.0,508.49
mendeley_o_000074__3,0.38685280723454163,7,1,True,u_01778,r_0264,i_032,3.0,762.81
mendeley_o_000074__4,0.6309297535714575,7,1,False,u_01778,r_0264,i_099,4.0,990.3299999999999
mendeley_o_000074__5,0.43067655807339306,7,1,False,u_01778,r_0264,i_002,5.0,1255.6299999999999
mendeley_o_000080__1,0.3562071871080222,7,1,True,u_04325,r_0449,i_091,1.0,218.14
mendeley_o_000080__2,0.3562071871080222,7,1,True,u_04325,r_0449,i_062,2.0,491.18
mendeley_o_000080__3,0.3562071871080222,7,1,True,u_04325,r_0449,i_071,3.0,730.675
mendeley_o_000080__4,0.38685280723454163,7,1,True,u_04325,r_0449,i_067,4.0,962.425
mendeley_o_000083__1,0.3333333333333333,7,1,True,u_04834,r_0039,i_031,1.0,254.315
mendeley_o_000083__2,1.0,7,1,False,u_04834,r_0039,i_054,2.0,477.12
mendeley_o_000092__1,0.43067655807339306,7,1,False,u_02645,r_0130,i_019,1.0,218.14
mendeley_o_000101__1,0.38685280723454163,7,1,True,u_03706,r_0355,i_002,1.0,239.24
mendeley_o_000101__2,0.3333333333333333,7,1,True,u_03706,r_0355,i_065,2.0,478.345
mendeley_o_000101__3,0.5,7,1,False,u_03706,r_0355,i_050,3.0,726.6850000000001
mendeley_o_000105__1,0.5,7,1,False,u_00855,r_0024,i_103,1.0,257.34000000000003
mendeley_o_000107__1,0.38685280723454163,7,1,True,u_03848,r_0168,i_058,1.0,239.57999999999998
mendeley_o_000107__2,1.0,7,1,False,u_03848,r_0168,i_053,2.0,496.075
mendeley_o_000107__3,0.5,7,1,False,u_03848,r_0168,i_034,3.0,717.755
mendeley_o_000111__1,0.3333333333333333,7,1,True,u_00453,r_0282,i_106,1.0,232.51
mendeley_o_000120__1,0.3333333333333333,7,1,True,u_02681,r_0024,i_008,1.0,248.17
mendeley_o_000120__2,0.5,7,1,False,u_02681,r_0024,i_045,2.0,475.7
mendeley_o_000129__1,0.3333333333333333,7,1,True,u_00780,r_0343,i_024,1.0,262.74
mendeley_o_000135__1,0.3562071871080222,7,1,True,u_02098,r_0048,i_026,1.0,241.82
mendeley_o_000135__2,0.43067655807339306,7,1,False,u_02098,r_0048,i_034,2.0,481.59
mendeley_o_000135__3,0.5,7,1,False,u_02098,r_0048,i_057,3.0,736.78
mendeley_o_000135__4,1.0,7,1,False,u_02098,r_0048,i_099,4.0,990.75
mendeley_o_000136__1,0.43067655807339306,7,1,False,u_00590,r_0348,i_111,1.0,239.76999999999998
mendeley_o_000143__1,0.38685280723454163,7,1,True,u_04705,r_0059,i_048,1.0,229.21
mendeley_o_000143__2,0.6309297535714575,7,1,False,u_04705,r_0059,i_094,2.0,468.78999999999996
mendeley_o_000143__3,0.38685280723454163,7,1,True,u_04705,r_0059,i_067,3.0,734.16
mendeley_o_000145__1,0.5,7,1,False,u_02892,r_0497,i_085,1.0,258.2
mendeley_o_000145__2,0.5,7,1,False,u_02892,r_0497,i_043,2.0,506.37
mendeley_o_000145__3,1.0,7,1,False,u_02892,r_0497,i_100,3.0,748.88
mendeley_o_000148__1,1.0,7,1,False,u_04068,r_0107,i_029,1.0,257.42
mendeley_o_000149__1,0.5,7,1,False,u_03929,r_0465,i_112,1.0,242.51
mendeley_o_000154__1,0.3562071871080222,7,1,True,u_02399,r_0067,i_093,1.0,264.46500000000003
mendeley_o_000154__2,0.5,7,1,False,u_02399,r_0067,i_084,2.0,517.635
mendeley_o_000154__3,0.5,7,1,False,u_02399,r_0067,i_019,3.0,774.1400000000001
mendeley_o_000154__4,1.0,7,1,False,u_02399,r_0067,i_083,4.0,1038.69
mendeley_o_000154__5,0.43067655807339306,7,1,False,u_02399,r_0067,i_102,5.0,1301.6550000000002
mendeley_o_000161__1,0.3333333333333333,7,1,True,u_00537,r_0175,i_112,1.0,232.51
mendeley_o_000161__2,0.43067655807339306,7,1,False,u_00537,r_0175,i_107,2.0,489.37
mendeley_o_000161__3,1.0,7,1,False,u_00537,r_0175,i_089,3.0,749.77
mendeley_o_000161__4,0.5,7,1,False,u_00537,r_0175,i_005,4.0,994.435
mendeley_o_000172__1,0.38685280723454163,7,1,True,u_03784,r_0183,i_022,1.0,264.37
mendeley_o_000181__1,0.5,7,1,False,u_00412,r_0201,i_111,1.0,241.04000000000002
mendeley_o_000181__2,0.43067655807339306,7,1,False,u_00412,r_0201,i_103,2.0,486.33000000000004
mendeley_o_000181__3,0.38685280723454163,7,1,True,u_00412,r_0201,i_060,3.0,757.6800000000001
mendeley_o_000181__4,0.43067655807339306,7,1,False,u_00412,r_0201,i_041,4.0,1011.115
mendeley_o_000188__1,0.6309297535714575,7,1,False,u_00115,r_0218,i_007,1.0,239.24
mendeley_o_000188__2,1.0,7,1,False,u_00115,r_0218,i_035,2.0,483.05
mendeley_o_000188__3,0.38685280723454163,7,1,True,u_00115,r_0218,i_112,3.0,733.025
mendeley_o_000188__4,0.6309297535714575,7,1,False,u_00115,r_0218,i_011,4.0,989.885
mendeley_o_000188__5,1.0,7,1,False,u_00115,r_0218,i_106,5.0,1238.195
mendeley_o_000193__1,0.43067655807339306,7,1,False,u_02626,r_0075,i_074,1.0,233.055
mendeley_o_000193__2,0.6309297535714575,7,1,False,u_02626,r_0075,i_043,2.0,497.425
mendeley_o_000193__3,1.0,7,1,False,u_02626,r_0075,i_036,3.0,739.935
mendeley_o_000193__4,0.3333333333333333,7,1,True,u_02626,r_0075,i_066,4.0,1014.5
mendeley_o_000193__5,0.6309297535714575,7,1,False,u_02626,r_0075,i_120,5.0,1264.97
mendeley_o_000195__1,0.5,7,1,False,u_04749,r_0232,i_012,1.0,221.68
mendeley_o_000195__2,0.3333333333333333,7,1,True,u_04749,r_0232,i_024,2.0,484.44
mendeley_o_000195__3,0.3333333333333333,7,1,True,u_04749,r_0232,i_087,3.0,743.54
