feature,mean_abs_shap,rank
comp_mean_lift,0.17985581998034356,1
comp_mean_pmi,0.12955536405960003,2
complement_confidence,0.08932957142510009,3
comp_max_lift,0.06948107016032025,4
comp_max_pmi,0.06930451904672032,5
candidate_score,0.04629214820033106,6
item_item_popularity,0.020870816643756895,7
completeness_delta,0.018073218717849608,8
item_emb_0,0.01609130226170858,9
item_emb_3,0.015393965972659603,10
item_emb_2,0.015161894394393019,11
item_item_price,0.014598784705756887,12
item_emb_7,0.014365718011633222,13
item_emb_4,0.013405099473460764,14
item_emb_1,0.011705809127599904,15
item_emb_5,0.010434082236557517,16
item_emb_6,0.009464326071272157,17
fills_meal_gap,0.00751584323366013,18
candidate_new_category,0.006998350726048296,19
item_item_price_band_high,0.0018315132448215058,20
item_item_price_band_mid,0.0014126191905552362,21
item_item_cat_beverage,0.0011844383887742735,22
item_item_cat_main_course,0.000670594158364024,23
item_item_price_band_low,0.0006555519702697818,24
item_item_price_band_premium,0.0004927171564271038,25
item_item_cat_starter,0.0002315800691304001,26
item_item_cat_dessert,0.00018868924480846584,27
item_item_cat_addon,0.00010572235144567428,28
cart_avg_price,0.0,29
cart_cat_share_dessert,0.0,30
cart_cat_share_main_course,0.0,31
cart_has_main,0.0,32
cart_has_starter,0.0,33
cart_cat_share_addon,0.0,34
cart_cat_share_beverage,0.0,35
ctx_user_hash,0.0,36
ctx_restaurant_hash,0.0,37
ctx_is_weekend,0.0,38
ctx_is_lunch,0.0,39
ctx_is_late_night,0.0,40
ctx_is_dinner,0.0,41
ctx_hour_of_day,0.0,42
ctx_day_of_week,0.0,43
ctx_cuisine_hash,0.0,44
ctx_city_hash,0.0,45
cart_missing_cat_ratio,0.0,46
cart_missing_cats,0.0,47
cart_price_std,0.0,48
cart_size,0.0,49
cart_unique_categories,0.0,50
cart_value,0.0,51
cart_has_dessert,0.0,52
cart_has_beverage,0.0,53
cart_completeness,0.0,54
cart_cat_share_starter,0.0,55
session_position,0.0,56
user_avg_order_value,0.0,57
user_order_count,0.0,58
user_order_frequency,0.0,59
user_price_sensitivity,0.0,60
user_recency_days,0.0,61
user_total_spend,0.0,62
user_user_cuisine_share_Biryani,0.0,63
user_user_cuisine_share_Chinese,0.0,64
user_user_cuisine_share_Italian,0.0,65
user_user_cuisine_share_North_Indian,0.0,66
user_user_segment,0.0,67
